NCAA Name,Team Code,Org,Org-Division,Team Name (standardized),Nickname ,logo,Hex value (Team Colors)
Appalachian State,27,NCAA,Division 1,Appalachian State, Mountaineers,APP.png,#FFFFFF #FFC520 #000000
Arkansas State,30,NCAA,Division 1,Arkansas State, Red Wolves,ARST.png,#C8C7C7 #231F20 #FFFFFF #ED1B2E
Coastal Carolina,149,NCAA,Division 1,Coastal Carolina, Chanticleers,CCAR.png,#D59C3A #373434 #FFFFFF #009297
Georgia Southern,253,NCAA,Division 1,Georgia Southern, Southern Eagles,GASO.png,#9DB7C4 #9B8348 #FFFFFF #003775
Idaho,295,NCAA,Division 1,Idaho, Vandals,IDHO.png,#FFFFFF #FFCC13 #000000
Georgia St.,254,NCAA,Division 1,Georgia St., Southern Eagles,GASO.png,#9DB7C4 #9B8348 #FFFFFF #003775
New Mexico State,472,NCAA,Division 1,New Mexico State, Aggies,NMSU.png,#FFFFFF #221E1F #891216
Louisiana-Monroe,498,NCAA,Division 1,Louisiana-Monroe, Warhawks,ULM.png,#B38807 #FFFFFF #98012E #231F20
Texas State,670,NCAA,Division 1,Texas State, Bobcats,TXST.png,#FFFFFF #9B8449 #744143
Louisiana-Lafayette,671,NCAA,Division 1,Louisiana-Lafayette, Ragin' Cajuns,ULL.png,#231F20 #F4A42A #FFFFFF #D73347
Troy,716,NCAA,Division 1,Troy, Trojans,TROY.png,#000000 #6E7272 #FFFFFF #AE0210
Delaware,180,NCAA,Division 1,Delaware, Fightin Blue Hens,DEL.png,#FFFFFF #100A04 #FFDD00 #01539B
Hofstra,283,NCAA,Division 1,Hofstra, Pride,HOF.png,#FFFFFF #FFCF1B #0756A4
James Madison,317,NCAA,Division 1,James Madison, Dukes,JMU.png,#B3B5B8 #FFFFFF #D5A10E #263997
Maine,380,NCAA,Division 1,Maine, Black Bears,ME.png,#000000 #909090 #FFFFFF #2E8DC4
Massachusetts,400,NCAA,Division 1,Massachusetts, Minutemen,MASS.png,#12090A #FFFFFF #9F011A
New Hampshire,469,NCAA,Division 1,New Hampshire, Wildcats,UNH.png,#C3C4C6 #FFFFFF #004990
Northeastern,500,NCAA,Division 1,Northeastern, Huskies,NE.png,#1A1100 #FFFFFF #CC0001
