---1996
Date	Bowl	Winner	Pts	Loser	Pts	Notes
1997-01-02	Sugar Bowl	Florida	52	Florida State	20	New Orleans, LA
1997-01-01	Citrus Bowl	Tennessee	48	Northwestern	28	Orlando, FL
1997-01-01	Cotton Bowl	Brigham Young	19	Kansas State	15	Dallas, TX
1997-01-01	Fiesta Bowl	Penn State	38	Texas	15	Tempe, AZ
1997-01-01	Gator Bowl	North Carolina	20	West Virginia	13	Jacksonville, FL
1997-01-01	Outback Bowl	Alabama	17	Michigan	14	Tampa, FL
1997-01-01	Rose Bowl	Ohio State	20	Arizona State	17	Pasadena, CA
1996-12-31	Independence Bowl	Auburn	32	Army	29	Shreveport, LA
1996-12-31	Orange Bowl	Nebraska	41	Virginia Tech	21	Miami, FL
1996-12-31	Sun Bowl	Stanford	38	Michigan State	0	El Paso, TX
1996-12-30	Holiday Bowl	Colorado	33	Washington	21	San Diego, CA
1996-12-29	Alamo Bowl	Iowa	27	Texas Tech	0	San Antonio, TX
1996-12-28	Peach Bowl	Louisiana State	10	Clemson	7	Atlanta, GA
1996-12-27	Carquest Bowl	Miami (FL)	31	Virginia	21	Miami, FL
1996-12-27	Copper Bowl	Wisconsin	38	Utah	10	Tucson, AZ
1996-12-27	Liberty Bowl	Syracuse	30	Houston	17	Memphis, TN
1996-12-25	Aloha Bowl	Navy	42	California	38	Honolulu, HI
1996-12-19	Las Vegas Bowl	Nevada	18	Ball State	15	Las Vegas, NV

---1997
1998-01-02	Orange Bowl	Nebraska	42	Tennessee	17	Miami, FL
1998-01-02	Peach Bowl	Auburn	21	Clemson	17	Atlanta, GA
1998-01-01	Citrus Bowl	Florida	21	Penn State	6	Orlando, FL
1998-01-01	Cotton Bowl	UCLA	29	Texas A&M	23	Dallas, TX
1998-01-01	Gator Bowl	North Carolina	42	Virginia Tech	3	Jacksonville, FL
1998-01-01	Outback Bowl	Georgia	33	Wisconsin	6	Tampa, FL
1998-01-01	Rose Bowl	Michigan	21	Washington State	16	Pasadena, CA
1998-01-01	Sugar Bowl	Florida State	31	Ohio State	14	New Orleans, LA
1997-12-31	Fiesta Bowl	Kansas State	35	Syracuse	18	Tempe, AZ
1997-12-31	Liberty Bowl	Southern Mississippi	41	Pittsburgh	7	Memphis, TN
1997-12-31	Sun Bowl	Arizona State	17	Iowa	7	El Paso, TX
1997-12-30	Alamo Bowl	Purdue	33	Oklahoma State	20	San Antonio, TX
1997-12-29	Carquest Bowl	Georgia Tech	35	West Virginia	30	Miami, FL
1997-12-29	Holiday Bowl	Colorado State	35	Missouri	24	San Diego, CA
1997-12-29	Humanitarian Bowl	Cincinnati	35	Utah State	19	Boise, ID
1997-12-28	Independence Bowl	Louisiana State	27	Notre Dame	9	Shreveport, LA
1997-12-27	Insight Bowl	Arizona	20	New Mexico	14	Tucson, AZ
1997-12-26	Motor City Bowl	Mississippi	34	Marshall	31	Pontiac, MI
1997-12-25	Aloha Bowl	Washington	51	Michigan State	23	Honolulu, HI
1997-12-20	Las Vegas Bowl	Oregon	41	Air Force	13	Las Vegas, NV

---1998
1999-01-04	Fiesta Bowl	Tennessee	23	Florida State	16	Tempe, AZ
1999-01-02	Orange Bowl	Florida	31	Syracuse	10	Miami, FL
1999-01-01	Citrus Bowl	Michigan	45	Arkansas	31	Orlando, FL
1999-01-01	Cotton Bowl	Texas	38	Mississippi State	11	Dallas, TX
1999-01-01	Gator Bowl	Georgia Tech	35	Notre Dame	28	Jacksonville, FL
1999-01-01	Outback Bowl	Penn State	26	Kentucky	14	Tampa, FL
