2000-2001,2000,Conference Championship,SEC Championship,,02/12/2000,Florida,235,Auburn,37
2000-2001,2000,Conference Championship,MAC Championship,,02/12/2000,Marshall,388,Western Mich.,774
2000-2001,2000,Conference Championship,BIG 12 Championship,,02/12/2000,Oklahoma,522,Kansas St.,327
2000-2001,2000,BCS National Championship,Orange Bowl,,03/01/2001,Oklahoma,522,Florida St.,234
2001-2002,2001,Conference Championship,MAC Championship,,30/12/2001,Toledo,709,Marshall,388
2001-2002,2001,Conference Championship,BIG 12 Championship,,01/12/2001,Colorado,157,Texas,703
2001-2002,2001,Conference Championship,SEC Championship,,08/12/2001,LSU,365,Tennessee,694
2001-2002,2001,BCS National Championship,BCS National Championship,Rose Bowl,03/01/2002,Miami (FL),415,Nebraska,463
2002-2003,2002,Conference Championship,SEC Championship,,07/12/2002,Georgia,257,Arkansas,31
2002-2003,2002,Conference Championship,MAC Championship,,07/12/2002,Marshall,388,Toledo,709
2002-2003,2002,Conference Championship,BIG 12 Championship,,07/12/2002,Oklahoma,522,Colorado,157
2002-2003,2002,BCS National Championship,BCS National Championship,Fiesta Bowl,03/01/2003,Ohio St.,518,Miami (FL),415
2003-2004,2003,Conference Championship,SEC Championship,,06/12/2003,LSU,365,Georgia,257
2003-2004,2003,Conference Championship,MAC Championship,,04/12/2003,Miami (OH),414,Bowling Green,71
2003-2004,2003,Conference Championship,BIG 12 Championship,,06/12/2003,Kansas St.,327,Oklahoma,522
2003-2004,2003,BCS National Championship,BCS National Championship,Sugar Bowl,04/01/2004,LSU,365,Oklahoma,522
2004-2005,2004,Conference Championship,BIG 12 Championship,,04/12/2004,Oklahoma,522,Colorado,157
2004-2005,2004,Conference Championship,MAC Championship,,02/12/2004,Toledo,709,Miami (OH),414
2004-2005,2004,Conference Championship,SEC Championship,,04/12/2004,Auburn,37,Tennessee,694
2004-2005,2004,BCS National Championship,BCS National Championship,Orange Bowl,04/01/2005,Southern California,657,Oklahoma,522
2005-2006,2005,Conference Championship,ACC Championship,,03/12/2005,Florida St.,234,Virginia Tech,742
2005-2006,2005,Conference Championship,BIG 12 Championship,,03/12/2005,Texas,703,Colorado,157
2005-2006,2005,Conference Championship,CUSA Championship,,03/12/2005,Tulsa,719,UCF,128
2005-2006,2005,Conference Championship,MAC Championship,,01/12/2005,Akron,5,Northern Ill.,503
2005-2006,2005,Conference Championship,SEC Championship,,03/12/2005,Georgia,257,LSU,365
2005-2006,2005,BCS National Championship,BCS National Championship,Rose Bowl,04/01/2006,Texas,703,Southern California,657
2006-2007,2006,Conference Championship,ACC Championship,,02/12/2006,Wake Forest,749,Georgia Tech,255
2006-2007,2006,Conference Championship,BIG 12 Championship,,02/12/2006,Oklahoma,522,Nebraska,463
2006-2007,2006,Conference Championship,CUSA Championship,,01/12/2006,Houston,288,Southern Miss.,664
2006-2007,2006,Conference Championship,MAC Championship,,30/11/2006,Central Mich.,129,Ohio,519
2006-2007,2006,Conference Championship,SEC Championship,,02/12/2006,Florida,235,Arkansas,31
2006-2007,2006,BCS National Championship,BCS National Championship,,08/01/2007,Florida,235,Ohio St.,518
2007-2008,2007,Conference Championship,ACC Championship,,01/12/2007,Virginia Tech,742,Boston College,67
2007-2008,2007,Conference Championship,BIG 12 Championship,,01/12/2007,Oklahoma,522,Missouri,434
2007-2008,2007,Conference Championship,CUSA Championship,,01/12/2007,UCF,128,Tulsa,719
2007-2008,2007,Conference Championship,MAC Championship,,01/12/2007,Central Mich.,129,Miami (OH),414
2007-2008,2007,Conference Championship,SEC Championship,,01/12/2007,LSU,365,Tennessee,694
2007-2008,2007,BCS National Championship,BCS National Championship,,07/01/2008,LSU,365,Ohio St.,518
2008-2009,2008,Conference Championship,ACC Championship,,06/12/2008,Virginia Tech,742,Boston College,67
2008-2009,2008,Conference Championship,BIG 12 Championship,,06/12/2008,Oklahoma,522,Missouri,434
2008-2009,2008,Conference Championship,CUSA Championship,,06/12/2008,East Carolina,196,Tulsa,719
2008-2009,2008,Conference Championship,MAC Championship,,05/12/2008,Buffalo,86,Ball St.,47
